,Hotel,Point,Country,member,Room type,Date,Review Title,Review Contents
0,하버 호텔 제주 (Harbor Hotel Jeju),10.0,Hae-Lin (대한민국),커플/2인 여행객,스탠다드 트윈,2020년 9월 | 1박,제주시내 숙소중 가성비 최고인듯,"['급 여행 결정되면서 저녁비행기로 도착해 제주시내근처 숙소 알아보다가 평이 좋아서 예약했습니다. 위치가 우선 너무 좋았고 주차장 어렵다고 하셨는데 생각보다 자리가 많더라구요. 숙소도 깔끔하고 있을거 다 있어서 부족함 없었습니다. 암막커튼 제대로 쳐져서 아침에도 꿀잠잤습니다. 조식패키지였는데 아침에 준비하다보니 식사시간 지나서 내려갔는데도 친절하게 스프도 다시 데워주시고 식사할수 있게 배려해주셨는데요, 여기 방문하시는 분들 스프 꼭 드세요. 안먹고 나왔으면 후회했을것같습니다 ㅎㅎ 스프 맛집이에요 ㅎㅎ 조식도 큰 기대 안했는데 빵이랑 시리얼이랑 과일 샐러드까지 알차게 구성되어있습니다. 리셉션 직원분이 여러모로 참 친절하셔서 감사했어요. 다음에 또 제주공항 근처에서 숙박하게 된다면 재방문의사 있습니다.']"
1,하버 호텔 제주 (Harbor Hotel Jeju),10.0,mi (대한민국),청소년 동반 가족 여행객,스탠다드 트윈,2021년 9월 | 4박,생일을 아들과 함께,['9월11일이 생일인 엄마를 위해 아들과 같이 연차휴가를 써서 온 제주여행 도착하자 렌트차가 맘에 안들어 화가난 아들 숙소는 제가 잡았는데 숙소까지 맘에 안들면 어쩌나 했는데 아늑하고 깨끗해서 너무 조았습니다. 초저녁에 도착했지만 코로나로 저녁을 사와서 먹었는데 남은 음식물 찌거기도 감사하게 치워 주시고 정말 4박동안 매일 청소도 해주시고 감사했습니다. 다음에도 제주가면 또 머물고 싶은 숙소입니다.']
2,하버 호텔 제주 (Harbor Hotel Jeju),10.0,sunyoung (대한민국),청소년 동반 가족 여행객,디럭스 트윈,2021년 7월 | 1박,최고입니다.,['가격대비 객실상태 훌륭하고요. 무엇보다 카운터에 계신 분들 친절도가 최상입니다. 거의 공짜 비슷하게 먹은 조식은 완전 기본이지만 왠만한 곳의 조식보다 맛있게 먹었습니다.샐러드 마련하는 걸 우연히 보게 되었는데 진짜 청결하게 씻고 조식시간 지나온 숙박객한테도 끝까지 친절하게 음식준비 해주셨어요.사라봉 별도봉 근처에 있는데 카운터에 문의해서 꼭 다녀오세요.넘 좋네요!']
3,하버 호텔 제주 (Harbor Hotel Jeju),10.0,Suh (대한민국),출장 여행객,스탠다드 트윈,2021년 4월 | 2박,직원분들 너무 친절하고 감사합니다!!,['출장이라 아침일찍 나가야해서 조식을 15분정도만 일찍 먹을수 있을지 부탁드렸는데 먹을수 있도록 편의를 봐주셨어요. 제가 숙소를 선택했는데 같이가신분들이 너무 만족한다고 저한테 엄지척해주셨어요^^ 덕분에 숙소잘 잡았다고 칭찬도 받고 정말 맛있는 조식먹고 일잘하고 돌아갑니다. 조식 맛있고 깔끔합니다!!! 모든면에서 강추입니다!!!!']
4,하버 호텔 제주 (Harbor Hotel Jeju),10.0,SU (대한민국),커플/2인 여행객,스탠다드 트윈,2022년 6월 | 1박,가성비 최고,['돔생과 처음으로 간 제주도에서 마지막 밤을 보낸 하버호텔은 청소나 위생도 좋고 직원도 친절 하셨으며 간단하지만 영양가와 맛도 있는 조식까지 가성비 최고의 호텔이네요..담에도 방문 할께요^^.']
5,하버 호텔 제주 (Harbor Hotel Jeju),10.0,Eunkyung (대한민국),나홀로 여행객,스탠다드 트윈,2021년 3월 | 1박,깨끗하고 조식샐러드가 맛있어요,['제주항이 보이는 뷰가 좋아요 방이 깨끗해서 좋구요 숙박하면 조식이 6천원이에요 웨스턴스타일인데 가짓수는 많지 않지만 맛있어요 든든하게 잘먹었어요 직원분들도 친절해요']
6,하버 호텔 제주 (Harbor Hotel Jeju),9.6,Sugyeong (대한민국),나홀로 여행객,당일 랜덤 배정(조식 불포함 / 체크인시 배정은 특정 객실과 베드타입을 보장하지 않습니다),2022년 8월 | 1박,가격대비 만족,['1박 가볍게 묶을 예정이여서 급하게 잡았는데 가격도 저렴하고 깔끔하고 친절하세요! 전실 금연이라서 담배냄새가 일도 없어서 좋았습어요~ 저희는 도시쪽 뷰였는데 체크아웃할때 보니 반대쪽 바다뷰가 이뻤어요!! 다만 단점이라면 다른 방 소리는 안들라는데 복소 소리는 들리네요~ 하지만 저녁시간에 다들 조용하셔서 불편함 없이 묶고왔어요~ 추천합니다~~~']
7,하버 호텔 제주 (Harbor Hotel Jeju),10.0,SEUNGWON (대한민국),나홀로 여행객,스탠다드 트윈,2021년 4월 | 2박,너무 깔끔하고 좋았어요~,['숙소 위치도 좋고 깔끔해서 너무 좋았어요! 친절하게 잘해주셔서 감사합니다~ 또 갈게요~!']
8,하버 호텔 제주 (Harbor Hotel Jeju),10.0,minjung,출장 여행객,스탠다드 트윈,2019년 6월 | 2박,다음번에도 이용하고 싶어요,['청결하고 친절하고 가격도 착해서 다음번에 또 이용하겠습니다.']
9,하버 호텔 제주 (Harbor Hotel Jeju),10.0,LEE (대한민국),출장 여행객,스탠다드 트윈,2021년 10월 | 1박,가성비 우수한 숙소,['숙박비용도 착한데 양질의 재료로. 정갈한 조식까지 최고의 숙소였습니다 동문시장까지 걸어서 15분거리 조용한곳에 위치해. 잘 쉬었다 왔네요^^']
